1,-50.26991983925681
2,-50.47757722292766
3,-50.64647989140983
4,-50.961650514922724
5,-50.79432087222277
6,-50.585980946344876
7,-51.34842066241657
8,-31.54277524105838
9,-33.3266697465876
10,-34.796794239039656
11,-36.75427446535129
12,-37.63209915979543
13,-26.569315238472406
14,-27.99307224044588
15,-29.30572842886051
16,-30.38966149723192
17,-22.32644854059082
18,-23.72204799715125
19,-24.95678578721793
20,-18.390575601393774
21,-18.22423978162345
22,-18.087048409517134
23,-17.90678790975465
24,-18.167924017076924
25,-10.301993606720405
26,-10.83151378033315
27,-10.629221786484555
28,-18.615689207088842
29,-19.023468188387582
30,-19.214661200894657
31,-19.04621186852558
32,-19.44285971213096
33,-27.47478636310309
34,-27.82134431823531
35,-27.82126206469122
36,-28.100189081312806
37,-36.18869415502543
38,-36.60376412616175
39,-36.920846705363196
40,-45.105892330304094
41,-45.086015148962865
42,-45.127775433798796
43,-45.20129617903337
44,-44.61072807587323
45,-44.67416388921346
46,-44.01227496751109
47,-36.13765603325105
48,-28.195447387114218
49,-20.114822288569233
50,-19.792918424035484
51,-19.54848121623838
52,-11.495353389152513
53,-3.492723930931529
54,4.497686771238505
55,12.1859203359171
56,20.109869751477408
57,28.18168032559573
58,36.29318833432309
59,36.69816215148551
60,44.868794480778845
61,52.49977089169818
62,60.24782670774018
63,67.9989007251267
64,75.59195407921547
65,75.60697409104935
66,83.26289334119478
67,83.31188360833673
68,83.34733751419041
69,83.34999798724861
70,90.95481446445915
71,98.70683359207871
72,98.71866691066015
73,98.74852413191364
74,98.73945744763817
75,98.75558891015038
76,98.77577924776065
77,98.80348291129538
78,98.82324705109093
79,106.39722445287468
80,106.40704638049904
81,106.45485317583966
82,106.49504552106312
83,106.49518124076687
84,106.48531763571923
85,106.56393889625471
86,106.5810278576876
87,106.60292862457982
88,106.64983924855694
89,106.69406725436852
90,106.67078116096131
91,106.66446967315763
92,106.70781937309353
93,106.71130505636442
94,106.75918429901019
95,106.78792165524344
96,106.76362697973347
97,106.77541794545054
98,106.77840897539652
99,106.79418945898115
100,106.7957755506485
